date, pm25, pm10, o3, no2, so2, co
2024/4/3, , 45, 61, , 5, 2
2024/4/4, , 36, 51, , 20, 6
2024/4/5, , 75, 53, , 20, 11
2024/4/6, , 110, 63, , 11, 4
2024/4/7, , 68, 69, , 6, 3
2024/4/8, , 56, 58, , 8, 2
2024/4/9, , 46, 65, , 7, 2
2024/4/10, , 61, 56, , 24, 4
2024/4/11, , 97, 44, , 22, 4
2024/4/12, , 97, 83, , 4, 1
2024/4/13, , 128, 76, , 5, 3
2024/4/14, , 75, 60, , 12, 7
2024/4/15, , 66, 56, , 18, 1
2024/4/16, , 66, 67, , 11, 2
2024/4/17, , 52, 76, , 8, 4
2024/4/18, , 46, 67, , 5, 4
2024/4/19, , 58, 62, , 11, 2
2024/4/20, , 60, 58, , 5, 3
2024/4/21, , 22, 56, , 5, 3
2024/4/22, , 24, 63, , 14, 2
2024/4/23, , 60, 72, , 5, 3
2024/4/24, , 37, 72, , 6, 4
2024/4/25, , 43, 70, , 3, 2
2024/4/26, , 36, 64, , 4, 3
2024/4/27, , 36, 58, , 19, 3
2024/4/28, , 50, 44, , 23, 4
2024/4/29, , 85, 60, , 5, 3
2024/4/30, , 72, 53, , 22, 4
2024/5/1, , 104, 65, , 7, 2
2024/5/2, , 73, 67, , 7, 2
2024/5/3, , 99, 90, , 3, 3
2024/5/4, , 61, 87, , 4, 3
2024/5/5, , 78, 68, , 6, 3
2024/5/6, , 43, 67, , 5, 2
2024/5/7, , 74, 68, , 7, 2
2024/5/8, , 70, 65, , 11, 2
2024/5/9, , 43, 79, , 3, 2
2024/5/10, , 44, 67, , 16, 3
2024/5/11, , 62, 60, , 13, 2
2024/5/12, , 70, 83, , 5, 2
2024/5/13, , 64, 68, , 18, 4
2024/5/14, , 62, 72, , 10, 3
2024/5/15, , 98, 43, , 22, 1
2024/5/16, , 106, 69, , 4, 2
2024/5/17, , 59, 60, , 15, 3
2024/5/18, , 59, 77, , 15, 1
2024/5/19, , 53, 88, , 12, 1
2024/5/20, , 74, 66, , 12, 
2024/5/21, , 69, 53, , 21, 
2024/5/22, , 58, 66, , 18, 
2024/5/23, , 42, 56, , 16, 
2024/5/24, , 28, 85, , 10, 
2024/5/25, , 35, 77, , 17, 
2024/5/26, , 60, 72, , 14, 
2024/5/27, , 54, 54, , 17, 
2024/5/28, , 49, 66, , 15, 4
2024/5/29, , 23, 61, , 18, 4
2024/5/30, , 42, 69, , 14, 2
2024/5/31, , 41, 78, , 12, 2
2024/6/1, , 56, 87, , 7, 1
2024/6/2, , 62, 97, , 15, 
2024/6/3, , 47, 99, , 20, 
2024/6/4, , 60, 85, , 29, 9
2024/6/5, , 63, 71, , 13, 3
2024/6/6, , 41, 69, , 12, 2
2024/6/7, , 49, 73, , 10, 3
2024/6/8, , 33, 95, , 5, 3
2024/6/9, , 54, 86, , 8, 10
2024/6/10, , 60, 89, , 13, 2
2024/6/11, , 35, 83, , 3, 32
2024/6/12, , 25, 81, , 2, 9
2024/6/13, , 33, 83, , 4, 13
2024/6/14, , 37, 78, , 6, 14
2024/6/15, , 54, 71, , 6, 18
2024/6/16, , 76, 98, , 4, 21
