date, pm25, pm10, o3, no2, so2, co
2024/9/6, 36, 150, 16, 9, 8, 4
2024/9/7, 54, 135, 25, 2, 4, 3
2024/9/8, 34, 86, 21, 5, 4, 2
2024/9/9, 22, 115, 19, 10, 3, 2
2024/9/10, 39, 107, 17, 8, 6, 4
2024/9/11, 39, 106, 14, 4, 2, 4
2024/9/12, 25, 36, 14, 7, 3, 3
2024/9/13, 22, 73, 18, 3, 3, 2
2024/9/14, 28, 110, 19, 6, 3, 4
2024/9/15, 37, 192, 12, 11, 5, 5
2024/9/16, 53, , 19, 9, 4, 3
2024/9/17, 41, , 10, 11, 2, 3
2024/9/18, 35, 105, 11, 10, 6, 5
2024/9/19, 30, 53, 11, 10, 1, 7
2024/9/20, 40, 109, 11, 11, 15, 5
2024/9/21, 65, 132, 13, 9, 6, 4
2024/9/22, 68, 104, 13, 7, 4, 6
2024/9/23, 48, 125, 16, 8, 2, 5
2024/9/24, 52, 139, 19, 13, 2, 6
2024/9/25, 60, 106, 16, 5, 9, 4
2024/9/26, 53, 75, 9, 11, 3, 4
2024/9/27, 54, 65, 9, 7, 2, 4
2024/9/28, 20, , , , , 
2024/9/29, 23, , , , , 
2024/9/30, 44, , , , , 
2024/4/1, 62, 60, 17, 9, 6, 6
2024/4/2, 70, 95, , 7, 6, 6
2024/4/3, 66, 112, , 8, 10, 6
2024/4/4, 59, 94, , 12, 7, 10
2024/4/5, 74, 125, , 13, 8, 15
2024/4/6, 96, 125, , 6, 9, 10
2024/4/7, 85, 91, , 6, 16, 6
2024/4/8, 67, 71, , 9, 17, 4
2024/4/9, 71, 106, , 12, 12, 8
2024/4/10, 77, 128, , 13, 8, 15
2024/4/11, 87, 111, , 12, 9, 14
2024/4/12, 76, 483, , 2, 7, 6
2024/4/13, 120, 109, , 4, 4, 3
2024/4/14, 31, 80, , 7, 8, 9
2024/4/15, 64, 93, 11, 10, 11, 8
2024/4/16, 69, 86, 19, 7, 6, 5
2024/4/17, 40, 86, 23, 6, 3, 4
2024/4/18, 25, 75, 22, 8, 14, 5
2024/4/19, 60, 73, 17, 5, 18, 8
2024/4/20, 46, 26, 17, 6, 5, 4
2024/4/21, 37, 48, 22, 5, 6, 8
2024/4/22, 31, 105, 22, 8, 5, 11
2024/4/23, 70, 75, 22, 7, 26, 10
2024/4/24, 51, 84, 20, 3, 8, 3
2024/4/25, 33, 92, 22, 5, 3, 4
2024/4/26, 36, 92, 20, 5, 1, 7
2024/4/27, 41, 90, 21, 5, 7, 5
2024/4/28, 44, 99, 21, 8, 7, 6
2024/4/29, 55, 86, 20, 8, 19, 5
2024/4/30, 63, 86, 22, 5, 6, 3
2024/5/1, 53, 87, 19, 7, 8, 4
2024/5/2, 58, 146, 20, 9, 6, 6
2024/5/3, 65, 64, 28, 3, 3, 4
2024/5/4, 28, 64, 23, 3, 6, 2
2024/5/5, 39, 65, 21, 7, 10, 4
2024/5/6, 44, 83, 21, 5, 11, 3
2024/5/7, 47, 95, 20, 5, 6, 4
2024/5/8, 41, 47, 18, 6, 6, 5
2024/5/9, 34, 45, 25, 5, 4, 3
2024/5/10, 21, 77, 23, 3, 3, 4
2024/5/11, 43, 87, 19, 3, 6, 5
2024/5/12, 45, 113, 20, 4, 4, 4
2024/5/13, 30, 103, 22, 6, 5, 3
2024/5/14, 41, 116, 20, 5, 7, 4
2024/5/15, 77, 100, 20, 8, 7, 2
2024/5/16, 57, 99, 17, 5, 3, 10
2024/5/17, 32, 65, 20, 5, 3, 7
2024/5/18, 20, 82, 25, 3, 5, 7
2024/5/19, 39, 111, 24, 4, 5, 4
2024/5/20, 76, 94, 21, 9, 9, 3
2024/5/28, 13, 66, 17, 5, 2, 4
2024/5/29, 13, 57, 16, 4, 4, 7
2024/5/30, 20, 75, 20, 6, 1, 5
2024/5/31, 43, 94, 21, 2, 2, 4
2024/6/1, 40, 75, 24, 2, 2, 3
2024/6/2, 31, 54, 27, 1, 2, 3
2024/6/3, 18, 56, 27, 1, 4, 3
2024/6/4, 33, 77, 23, 4, 1, 3
2024/6/5, 39, 42, 22, 4, 1, 3
2024/6/6, 19, 56, 20, 5, 3, 4
2024/6/7, 38, 74, 21, 3, 4, 3
2024/6/8, 25, 78, 22, 3, 7, 3
2024/6/9, 34, 108, 23, 3, 4, 1
2024/6/10, 40, 77, 22, 4, 2, 4
2024/6/11, 34, 65, 18, 5, 4, 3
2024/6/12, 22, 86, 19, 5, 3, 3
2024/6/13, 38, 80, 19, 6, 5, 3
2024/6/14, 39, 98, 19, 5, 3, 2
2024/6/15, 43, 109, 23, 3, 6, 2
2024/6/16, 55, 118, 28, 2, 19, 5
2024/6/17, 46, 183, 24, 3, 8, 24
2024/6/18, 64, 97, 19, 3, 1, 7
2024/6/19, 72, 55, 28, 2, 1, 5
2024/6/20, 37, 93, 12, 1, , 4
2024/6/21, 18, , , , , 
2024/6/22, 25, , , , , 
2024/6/23, 40, 153, 19, 1, 3, 3
2024/6/24, 77, 124, 18, 4, 1, 2
2024/6/25, 50, 105, 19, 6, 4, 2
2024/6/26, 81, 64, 10, 8, 2, 4
2024/6/27, 37, 68, 19, 4, 4, 3
2024/6/28, 36, 60, 12, 9, 3, 7
2024/6/29, 55, 98, 9, 8, 1, 6
2024/6/30, 64, 96, 25, 3, 6, 3
2024/1/1, 209, 159, 4, 60, 68, 34
2024/1/2, 220, 170, 8, 52, 77, 40
2024/1/3, 195, 51, 22, 9, 20, 8
2024/1/4, 69, 109, 9, 33, 31, 22
2024/1/5, 182, 125, 10, , 46, 24
2024/1/6, 189, 181, 3, , 93, 41
2024/1/7, 246, 243, 4, , 96, 38
2024/1/8, 254, 124, 8, 66, 56, 30
2024/1/9, 205, 231, 11, 76, 84, 33
2024/1/10, 261, 116, 11, 45, 39, 22
2024/1/11, 200, 128, 13, 44, 60, 35
2024/1/12, 229, 54, 25, 9, 16, 10
2024/1/13, 70, 117, 13, 33, 51, 21
2024/1/14, 186, 177, 7, 52, 77, 39
2024/1/15, 246, 142, 10, 40, 69, 37
2024/1/16, 213, 116, 10, 25, 38, 19
2024/1/17, 125, 125, 9, 29, 38, 24
2024/1/18, 167, 108, 15, 13, 36, 19
2024/1/19, 127, 58, 21, 13, 19, 11
2024/1/20, 92, 115, 11, 29, 42, 27
2024/1/21, 164, 153, 8, 38, 70, 28
2024/1/22, 206, 197, 5, 62, 100, 37
2024/1/23, 256, 205, 7, 64, 88, 36
2024/1/24, 257, 257, 6, 91, 118, 38
2024/1/25, 206, 188, 8, 56, 90, 40
2024/1/26, 227, 173, 7, 55, 88, 39
2024/1/27, 231, 215, 4, 87, 116, 36
2024/1/28, 203, 193, 8, 49, 88, 33
2024/1/29, 237, 157, 11, 38, 70, 33
2024/1/30, 195, 138, 14, 37, 73, 29
2024/1/31, 194, 163, 9, 45, 90, 35
2024/2/1, 191, 174, 7, 62, 101, 29
2024/2/2, 211, 173, 12, 52, 84, 32
2024/2/3, 182, 177, 21, 54, 85, 35
2024/2/4, 126, 135, 13, 36, 68, 28
2024/2/5, 209, 169, 7, 46, 84, 24
2024/2/6, 217, 154, 11, 45, 85, 34
2024/2/7, 218, 169, 8, 51, 86, 27
2024/2/8, 243, 187, 10, 47, 92, 36
2024/2/9, 220, 174, 11, 45, 87, 40
2024/2/10, 222, 144, 5, 59, 81, 40
2024/2/11, 240, 142, 8, 50, 75, 37
2024/2/12, 211, 68, 21, 14, 20, 13
2024/2/13, 89, 90, 21, 12, 23, 13
2024/2/14, 129, 108, 12, 37, 52, 22
2024/2/15, 162, 141, 8, 48, 84, 36
2024/2/16, 164, 42, 25, 6, 10, 5
2024/2/17, 51, 41, 27, 7, 13, 7
2024/2/18, 76, 97, 18, 18, 46, 17
2024/2/19, 161, 112, 17, 21, 53, 23
2024/2/20, 156, 105, 16, 24, 61, 23
2024/2/21, 164, 113, 24, 21, 69, 30
2024/2/22, 138, 51, 24, 10, 30, 2
2024/2/23, 66, 120, 18, 15, 39, 
2024/2/24, 148, 104, 22, 8, 46, 
2024/2/25, 125, 88, 23, 9, 25, 3
2024/2/26, 107, 108, 19, 15, 29, 14
2024/2/27, 123, 101, 24, 13, 23, 13
2024/2/28, 126, 100, 20, 15, 29, 14
2024/3/6, 110, 101, 16, 19, 32, 15
2024/3/7, 131, 94, 18, 11, 37, 17
2024/3/8, 127, 100, 14, 17, 46, 14
2024/3/9, 137, 96, 20, 11, 33, 14
2024/3/10, 129, 74, 19, 12, 32, 9
2024/3/11, 113, 85, 15, 14, 39, 15
2024/3/12, 112, 85, 18, 20, 34, 15
2024/3/13, 129, 71, 19, 17, 32, 18
2024/3/14, 107, 33, 23, 4, 15, 6
2024/3/15, 47, 23, 30, 4, 11, 5
2024/3/16, 55, 31, 23, 6, 12, 7
2024/3/17, 88, 66, 26, 7, 10, 11
2024/3/18, 85, 89, 18, 12, 16, 9
2024/3/19, 96, 82, 18, 11, 21, 13
2024/3/20, 90, 95, 20, 14, 23, 14
2024/3/21, 90, 78, 21, 8, 14, 11
2024/3/22, 75, 68, 24, 6, 13, 8
2024/3/23, 48, 89, 19, 8, 18, 13
2024/3/24, 71, 77, 22, 6, 13, 9
2024/3/25, 61, 94, 20, 11, 15, 11
2024/3/26, 82, 44, 27, 5, 4, 6
2024/3/27, 27, 39, 25, 7, 5, 6
2024/3/28, 49, 47, 25, 5, 8, 4
2024/3/29, 34, 89, 16, 8, 12, 10
2024/3/30, 80, 62, 17, 5, 14, 11
2024/3/31, 74, 44, 19, 7, 13, 8
2023/10/20, 107, 102, 11, 22, 10, 12
2023/10/21, 116, 112, 9, 22, 11, 13
2023/10/22, 98, 110, 13, 17, 9, 11
2023/10/23, 112, 114, 11, 23, 15, 13
2023/10/24, 103, 121, 19, 21, 8, 14
2023/10/25, 85, 96, 20, 16, 7, 10
2023/10/26, 106, 106, 11, 22, 10, 12
2023/10/27, 111, 84, 6, 15, 11, 14
2023/10/28, 90, , , , , 
2023/10/29, 76, , , , , 
2023/10/30, 59, , , , , 
2023/10/31, 100, 89, 10, 44, 6, 14
2023/11/1, 87, 92, 5, 26, 6, 20
2023/11/6, 126, 77, 28, 13, 13, 23
2023/11/7, 77, 55, 19, 13, 9, 17
2023/11/8, 63, 68, 22, 12, 6, 11
2023/11/9, 94, 72, 15, 19, 11, 11
2023/11/10, 164, 95, 11, 28, 23, 16
2023/11/11, 123, 96, 16, 18, 25, 20
