date, pm25, pm10, no2, so2, co
2024/9/24, 20, 80, 110, 9, 8
2024/9/25, 22, 64, 119, 5, 8
2024/9/26, 19, 52, 104, 4, 7
2024/9/27, 18, 44, 138, 1, 6
2024/9/28, 13, , , , 
2024/4/1, 19, 82, 58, 6, 10
2024/4/3, 26, 107, 60, 14, 9
2024/4/4, 40, 107, 66, 9, 15
2024/4/5, 40, 157, 72, 12, 20
2024/4/6, 65, 112, 60, 9, 9
2024/4/7, 50, 107, 60, 10, 8
2024/4/8, 37, 90, 65, 12, 7
2024/4/9, 13, 103, 66, 12, 9
2024/4/10, 29, 137, 84, 10, 18
2024/4/11, 45, 117, 76, 11, 9
2024/4/12, 37, 448, 75, 7, 6
2024/4/13, 62, 87, 60, 1, 5
2024/4/14, 24, 84, 76, 13, 13
2024/4/15, 30, 90, 71, 12, 8
2024/4/16, 16, 71, 68, 6, 7
2024/4/17, 20, 59, 54, 3, 4
2024/4/18, 15, 71, 71, 12, 6
2024/4/19, 18, 75, 71, 9, 7
2024/4/20, 20, 35, 52, 2, 4
2024/4/21, 13, 64, 64, 3, 6
2024/4/22, 11, 99, 68, 6, 11
2024/4/23, 14, 71, 70, 3, 6
2024/4/24, 16, 64, 59, 3, 6
2024/4/30, 9, 109, 94, 8, 9
2024/5/1, 11, 93, 82, 9, 7
2024/5/2, 9, 380, 87, 10, 10
2024/5/3, 22, , 79, 4, 6
2024/5/6, 22, 73, 80, 7, 5
2024/5/7, 12, 69, 79, 7, 4
2024/5/8, 23, 57, 85, 6, 5
2024/5/9, 15, 51, 54, 1, 4
2024/5/10, 12, 47, 80, 2, 5
2024/5/11, 15, 67, 90, 7, 7
2024/5/12, 14, 69, 57, 3, 5
2024/5/13, 18, 67, 71, 10, 6
2024/5/14, 18, 101, 85, 9, 6
2024/5/15, 20, 94, 88, 8, 6
2024/5/16, 20, 88, 73, 4, 4
2024/5/17, 16, 48, 81, 5, 5
2024/5/18, 9, 67, 81, 6, 6
2024/5/19, 14, 86, 79, 4, 5
2024/5/20, 13, 79, 92, 7, 5
2024/5/21, 15, 52, 92, 3, 4
2024/5/22, 13, 55, 83, 7, 5
2024/5/23, 18, 34, 84, 3, 4
2024/5/24, 13, 60, 64, 2, 3
2024/5/25, 20, 65, 78, , 5
2024/5/26, 19, 73, 77, 9, 5
2024/5/27, 18, 64, 81, 4, 5
2024/5/28, 15, 38, 60, 2, 4
2024/5/29, 10, 40, 58, 2, 5
2024/5/30, 11, 51, 61, 3, 5
2024/5/31, 15, 55, 63, 4, 5
2024/6/1, 17, 50, 60, 2, 4
2024/6/2, 13, 46, 55, 2, 4
2024/6/3, 11, 56, 62, 2, 4
2024/6/4, 12, 69, 59, 2, 3
2024/6/5, 17, 47, 50, 2, 4
2024/6/6, 11, 60, 48, 9, 6
2024/6/7, 12, 55, 49, 4, 4
2024/6/8, 12, 59, 52, 4, 3
2024/6/9, 12, 74, 51, 2, 4
2024/6/10, 13, 64, 52, 8, 4
2024/6/11, 14, 56, 42, 2, 3
2024/6/12, 9, 62, 48, 1, 5
2024/6/13, 13, 54, 48, 2, 4
2024/6/14, 18, 61, 45, 3, 4
2024/6/15, 14, 68, 64, 6, 3
2024/6/16, 20, 72, 74, 2, 3
2024/6/17, 19, 94, 140, 3, 13
2024/6/18, 25, 67, 85, 4, 8
2024/6/19, 22, 63, 68, 3, 6
2024/6/20, 14, 45, 59, 1, 4
2024/6/21, 12, , , , 
2024/6/24, 26, 53, 64, 2, 4
2024/6/25, 14, 67, 66, 3, 5
2024/6/26, 17, 45, 65, 1, 5
2024/6/27, 14, 57, 68, 1, 5
2024/6/28, 12, 48, 64, 1, 6
2024/6/29, 22, 57, 71, 2, 5
2024/6/30, 21, 91, 66, 3, 6
2024/1/1, 245, 106, 40, 33, 24
2024/1/2, 162, 76, 42, 35, 14
2024/1/3, 103, 31, 35, 15, 6
2024/1/4, 46, 108, 39, 31, 11
2024/1/5, 237, 75, 30, 25, 19
2024/1/6, 113, 65, 37, 30, 14
2024/1/7, 96, 106, 47, 43, 22
2024/1/8, 151, 82, 38, 27, 19
2024/1/9, 123, 139, 50, 61, 29
2024/1/10, 273, 114, 46, 45, 32
2024/1/11, 243, 101, 45, 49, 26
2024/1/12, 150, 33, 31, 12, 9
2024/1/13, 48, 70, 36, 26, 16
2024/1/14, 98, 84, 40, 43, 23
2024/1/15, 166, 72, 44, 37, 19
2024/1/16, 102, 61, 42, 24, 18
2024/1/17, 77, 80, 42, 24, 19
2024/1/18, 117, 68, 39, 22, 14
2024/1/19, 103, 52, 35, 18, 12
2024/1/20, 74, 83, 40, 27, 19
2024/1/21, 133, 99, 43, 35, 16
2024/1/22, 135, 127, 48, 54, 21
2024/1/23, 164, 105, 47, 47, 21
2024/1/24, 148, 104, 48, 44, 18
2024/1/25, 142, 84, 43, 37, 16
2024/1/26, 109, 95, 48, 42, 19
2024/1/27, 140, 103, 48, 48, 18
2024/1/28, 130, 96, 47, 41, 17
2024/1/29, 129, 100, 48, 30, 16
2024/1/30, 143, 77, 37, 26, 14
2024/1/31, 108, 60, 42, 31, 12
2024/2/1, 82, 103, 47, 44, 19
2024/2/2, 139, 67, 38, 28, 14
2024/2/3, 76, 34, 39, 18, 9
2024/2/4, 46, 71, 48, 30, 18
2024/2/5, 108, 96, 48, 35, 17
2024/2/6, 123, 70, 45, 27, 16
2024/2/7, 98, 81, 47, 29, 15
2024/2/8, 103, 94, 48, 40, 17
2024/2/9, 124, 110, 53, 47, 23
2024/2/10, 168, 100, 53, 51, 25
2024/2/11, 181, 96, 51, 54, 29
2024/2/12, 148, 31, 40, 10, 9
2024/2/13, 44, 69, 41, 11, 13
2024/2/14, 89, 60, 42, 23, 14
2024/2/15, 63, 86, 49, 42, 19
2024/2/16, 107, 40, 31, 10, 10
2024/2/17, 42, 33, 31, 10, 7
2024/2/18, 41, 76, 37, 34, 16
2024/2/19, 104, 62, 38, 23, 11
2024/2/20, 92, 74, 41, 30, 12
2024/2/21, 99, 42, 39, 18, 10
2024/2/22, 54, 34, 41, 18, 7
2024/2/23, 25, 86, 43, 25, 18
2024/2/24, 105, 78, 37, 22, 11
2024/2/25, 72, 71, 43, 19, 10
2024/2/26, 57, 86, 43, 19, 14
2024/2/27, 95, 86, 46, 23, 19
2024/2/28, 97, 82, 47, 21, 14
2024/2/29, 97, 84, 47, 31, 16
2024/3/1, 103, 89, 47, 32, 16
2024/3/2, 105, 66, 43, 25, 12
2024/3/3, 61, 88, 51, 22, 17
2024/3/4, 122, 72, 45, 23, 11
2024/3/5, 70, 62, 42, 18, 11
2024/3/6, 141, 50, 50, 21, 17
2024/3/7, 36, 60, 41, 24, 11
2024/3/8, 45, 92, 50, 25, 17
2024/3/9, 92, 71, 47, 22, 11
2024/3/10, 71, 61, 50, 20, 9
2024/3/11, 39, 62, 47, 21, 11
2024/3/12, 36, 70, 52, 24, 13
2024/3/13, 66, 51, 51, 19, 13
2024/3/14, 46, 47, 43, 9, 9
2024/3/15, 28, 24, 52, 8, 7
2024/3/16, 20, 58, 45, 13, 10
2024/3/17, 55, 69, 49, 8, 10
2024/3/18, 21, 113, 54, 12, 15
2024/3/19, 74, 107, 50, 14, 13
2024/3/20, 47, 103, 53, 17, 9
2024/3/21, 16, 100, 57, 17, 16
2024/3/22, 80, 79, 51, 11, 6
2024/3/23, 26, 87, 56, 18, 9
2024/3/24, 37, 90, 47, 18, 10
2024/3/25, 47, 126, 58, 17, 24
2024/3/26, 32, 36, 45, 3, 5
2024/3/27, 23, 92, 49, 6, 13
2024/3/28, 42, 75, 48, 4, 6
2024/3/29, 34, 107, 54, 16, 10
2024/3/30, 30, 99, 63, 20, 12
2024/3/31, 33, 57, 63, 10, 10
2023/10/1, 33, 71, 28, 3, 8
2023/10/2, 22, 64, 30, 5, 8
2023/10/3, 28, 95, 34, 5, 16
2023/10/4, 56, 99, 37, 8, 10
2023/10/5, 50, 74, 33, 6, 11
2023/10/6, 31, 38, 25, 1, 5
2023/10/7, 18, 76, 33, 5, 10
2023/10/8, 53, 97, 37, 6, 12
2023/10/9, 55, 102, 34, 6, 10
2023/10/10, 37, 110, 37, 5, 10
2023/10/11, 42, 126, 39, 9, 9
2023/10/12, 41, 85, 40, 10, 10
2023/10/13, 45, 71, 30, 4, 11
2023/10/14, 33, 96, 36, 8, 13
2023/10/15, 33, 132, 39, 10, 13
2023/10/16, 13, 59, 31, 3, 7
2023/10/17, 4, 49, 26, 3, 7
2023/10/18, 3, 71, 32, 3, 8
2023/10/19, 3, 90, 35, 8, 13
2023/10/20, 1, 96, 39, 10, 12
2023/10/21, 2, 96, 35, 9, 13
2023/10/22, 3, 96, 37, 12, 13
2023/10/23, 2, 115, 36, 8, 15
2023/10/24, 3, 100, 37, 8, 10
2023/10/25, 2, 112, 36, 11, 15
2023/10/26, 4, , , , 
2023/10/31, 42, 140, 35, 8, 14
2023/11/1, 63, 95, 27, 1, 7
2023/11/2, 34, 89, 27, 5, 8
2023/11/3, 35, 88, 22, 1, 8
2023/11/4, 24, 45, 27, 3, 9
2023/11/5, 38, 72, 32, 12, 12
2023/11/6, 52, 130, 30, 7, 15
